ID,2022_Value,ActivityMetric,AMKEY,group,query,Value
129_X_Impala,0.0,Total indirect CO2,,Impala,Total indirect CO2 in Impala company in the year ,3646000.0
129_X_Oceana1&2,0.0,Scope 2 CO2e emissions (indirect - electricity purchased) (tonnes),,Oceana1&2,Scope 2 CO2e emissions (indirect - electricity purchased) (tonnes) in Oceana1&2 company in the year ,51120.0
129_X_Sasol,0.0,Indirect carbon dioxide (CO2 ) Scope 2 (kilotons),,Sasol,Indirect carbon dioxide (CO2 ) Scope 2 (kilotons) in Sasol company in the year ,5748.0
129_X_Tongaat,0.0,Carbon emissions – Scope 2,,Tongaat,Carbon emissions – Scope 2 in Tongaat company in the year ,0.0
129_X_Uct1&2,0.0,Sub-Total Scope 2: location-based,,Uct1&2,Sub-Total Scope 2: location-based in Uct1&2 company in the year ,151023.0
12_X_Tongaat,0.0,Total injury frequency rate (TIFR) – employees and contractors,,Tongaat,Total injury frequency rate (TIFR) – employees and contractors in Tongaat company in the year ,0.0
130_X_Absa,0.0,Scope 3,,Absa,Scope 3 in Absa company in the year ,16205.0
130_X_Distell,0.0,Carbon emissions (Tonnes CO2 e) – Scope 3,,Distell,Carbon emissions (Tonnes CO2 e) – Scope 3 in Distell company in the year ,320431.0
130_X_Oceana1&2,0.0,"Scope 3 CO2e emission (indirect, not scope 1 or 2) (tonnes)",,Oceana1&2,"Scope 3 CO2e emission (indirect, not scope 1 or 2) (tonnes) in Oceana1&2 company in the year ",72232.0
130_X_Ssw,0.0,Scope 3,,Ssw,Scope 3 in Ssw company in the year ,6651746.0
130_X_Uct1&2,0.0,Sub-Total Scope 3,,Uct1&2,Sub-Total Scope 3 in Uct1&2 company in the year ,0.0
133_X_Absa,0.0,Intensity ratio,,Absa,Intensity ratio in Absa company in the year ,4.37
133_X_Ssw,0.0,Emissions intensity (Average of SA Region) - tCO_{2} e/t milled,,Ssw,Emissions intensity (Average of SA Region) - tCO_{2} e/t milled in Ssw company in the year ,0.48
135_X_Distell,0.0,Total volume of hazardous waste disposed (tonnes) – to registered disposal sites,,Distell,Total volume of hazardous waste disposed (tonnes) – to registered disposal sites in Distell company in the year ,0.0
135_X_Sasol,0.0,Hazardous waste (kilotons),,Sasol,Hazardous waste (kilotons) in Sasol company in the year ,277.0
136_X_Impala,0.0,Non-mineral/hazardous waste - Recycled,,Impala,Non-mineral/hazardous waste - Recycled in Impala company in the year ,31899.4
136_X_Ssw,0.0,"Hazardous waste recycled, reused and treated",,Ssw,"Hazardous waste recycled, reused and treated in Ssw company in the year ",0.0
138_X_Ssw,0.0,Hazardous waste to landfil,,Ssw,Hazardous waste to landfil in Ssw company in the year ,0.0
138_X_Tongaat,0.0,Hazardous waste disposed of at appropriate facilities,,Tongaat,Hazardous waste disposed of at appropriate facilities in Tongaat company in the year ,0.0
143_X_Oceana1&2,0.0,Infrastructure Development,,Oceana1&2,Infrastructure Development in Oceana1&2 company in the year ,0.0
151_X_Absa,0.0,Lost-time injury frequency rate (number of lost-time injuries per 200 000 person hours worked) (South Africa),,Absa,Lost-time injury frequency rate (number of lost-time injuries per 200 000 person hours worked) (South Africa) in Absa company in the year ,0.04
151_X_Distell,0.0,"Lost Time Injury Frequency Rate (LTIFR, i.e., number of LTIs per 200 000 person hours worked) – reported",,Distell,"Lost Time Injury Frequency Rate (LTIFR, i.e., number of LTIs per 200 000 person hours worked) – reported in Distell company in the year ",0.0
151_X_Impala,0.0,LTIFR (including RWC),,Impala,LTIFR (including RWC) in Impala company in the year ,3.92
151_X_Oceana1&2,0.0,Lost Time Injury Frequency Rate,,Oceana1&2,Lost Time Injury Frequency Rate in Oceana1&2 company in the year ,0.0
151_X_Sasol,0.0,Lost Workday Case Rate (LWDCR),,Sasol,Lost Workday Case Rate (LWDCR) in Sasol company in the year ,0.13
151_X_Ssw,0.0,Lost-time injury frequency rate (LTIFR) (Average of SA Region),,Ssw,Lost-time injury frequency rate (LTIFR) (Average of SA Region) in Ssw company in the year ,5.65
151_X_Tongaat,0.0,"Lost time injury frequency rate (LTIFR, i.e. number of LTIs per 200 000 person hours worked) – employees and contractors",,Tongaat,"Lost time injury frequency rate (LTIFR, i.e. number of LTIs per 200 000 person hours worked) – employees and contractors in Tongaat company in the year ",0.0
157_X_Impala,0.0,MTCFR,,Impala,MTCFR in Impala company in the year ,7.0633333333333335
157_X_Ssw,0.0,Medically treated injury frequency rate (MTIFR),,Ssw,Medically treated injury frequency rate (MTIFR) in Ssw company in the year ,4.13
163_X_Absa,0.0,Non-renewable – Gas (kWh),,Absa,Non-renewable – Gas (kWh) in Absa company in the year ,34423.152
163_X_Sasol,0.0,Natural gas (kilotons),,Sasol,Natural gas (kilotons) in Sasol company in the year ,0.0
163_X_Tongaat,0.0,Natural gas used in stationary combustion equipment,,Tongaat,Natural gas used in stationary combustion equipment in Tongaat company in the year ,0.0
169_X_Sasol,0.0,Non-hazardous waste (kilotons),,Sasol,Non-hazardous waste (kilotons) in Sasol company in the year ,484.0
170_X_Absa,0.0,Waste to landfill (tonnes),,Absa,Waste to landfill (tonnes) in Absa company in the year ,139.0
170_X_Distell,0.0,Total volume of non-hazardous waste disposed (tonnes) – to landfill,,Distell,Total volume of non-hazardous waste disposed (tonnes) – to landfill in Distell company in the year ,0.0
170_X_Ssw,0.0,General waste to landfill,,Ssw,General waste to landfill in Ssw company in the year ,0.0
170_X_Tongaat,0.0,Non-hazardous waste sent to landfill,,Tongaat,Non-hazardous waste sent to landfill in Tongaat company in the year ,0.0
188_X_Impala,0.0,Top management - African,,Impala,Top management - African in Impala company in the year ,0.0
189_X_Impala,0.0,"Skilled technical and academically qualified workers, junior management, supervisors, foremen and superintendents -  African",,Impala,"Skilled technical and academically qualified workers, junior management, supervisors, foremen and superintendents -  African in Impala company in the year ",0.0
189_X_Oceana1&2,0.0,Junior management - Female African,,Oceana1&2,Junior management - Female African in Oceana1&2 company in the year ,0.0
190_X_Impala,0.0,Professionally qualified and experienced specialists and mid-management - African,,Impala,Professionally qualified and experienced specialists and mid-management - African in Impala company in the year ,0.0
190_X_Oceana1&2,0.0,Middle management - African,,Oceana1&2,Middle management - African in Oceana1&2 company in the year ,0.0
191_X_Impala,0.0,Senior management - African,,Impala,Senior management - African in Impala company in the year ,0.0
191_X_Oceana1&2,0.0,Senior management - African,,Oceana1&2,Senior management - African in Oceana1&2 company in the year ,0.0
193_X_Impala,0.0,Professionally qualified and experienced specialists and mid-management - Female African,,Impala,Professionally qualified and experienced specialists and mid-management - Female African in Impala company in the year ,0.0
193_X_Oceana1&2,0.0,Middle management - Female African,,Oceana1&2,Middle management - Female African in Oceana1&2 company in the year ,0.0
194_X_Impala,0.0,Top management - Female African,,Impala,Top management - Female African in Impala company in the year ,0.0
195_X_Impala,0.0,"Skilled technical and academically qualified workers, junior management, supervisors, foremen and superintendents - Female African",,Impala,"Skilled technical and academically qualified workers, junior management, supervisors, foremen and superintendents - Female African in Impala company in the year ",0.0
195_X_Oceana1&2,0.0,Junior management - African,,Oceana1&2,Junior management - African in Oceana1&2 company in the year ,0.0
196_X_Impala,0.0,Senior management - Female African,,Impala,Senior management - Female African in Impala company in the year ,0.0
196_X_Oceana1&2,0.0,Senior management - Female African,,Oceana1&2,Senior management - Female African in Oceana1&2 company in the year ,0.0
213_X_Distell,0.0,Number of employees who are deemed 'disabled',,Distell,Number of employees who are deemed 'disabled' in Distell company in the year ,54.0
213_X_Oceana1&2,0.0,TOTAL PERMANENT DISABLED EMPLOYEES,,Oceana1&2,TOTAL PERMANENT DISABLED EMPLOYEES in Oceana1&2 company in the year ,0.0
213_X_Tongaat,0.0,Number of employees with disabilities,,Tongaat,Number of employees with disabilities in Tongaat company in the year ,0.0
216_X_Ssw,0.0,Environmental incidents: level 3 and higher,,Ssw,Environmental incidents: level 3 and higher in Ssw company in the year ,1.0
216_X_Tongaat,0.0,Environmental incidents – Level 3,,Tongaat,Environmental incidents – Level 3 in Tongaat company in the year ,0.0
219_X_Absa,0.0,Fatalities,,Absa,Fatalities in Absa company in the year ,0.0
219_X_Distell,0.0,Number of work-related fatalities (Distell Group),,Distell,Number of work-related fatalities (Distell Group) in Distell company in the year ,0.0
219_X_Impala,0.0,Fatalities (employees),,Impala,Fatalities (employees) in Impala company in the year ,5.0
219_X_Sasol,0.0,Employee and service provider fatalities,,Sasol,Employee and service provider fatalities in Sasol company in the year ,5.0
219_X_Ssw,0.0,Fatalities (Average of SA region),,Ssw,Fatalities (Average of SA region) in Ssw company in the year ,13.0
219_X_Tongaat,0.0,"Fatalities (i.e. injuries on duty leading to death, excluding the deaths of workers not occurring “at work”) – employees and contractors",,Tongaat,"Fatalities (i.e. injuries on duty leading to death, excluding the deaths of workers not occurring “at work”) – employees and contractors in Tongaat company in the year ",0.0
220_X_Absa,0.0,Women board members,,Absa,Women board members in Absa company in the year ,4.0
220_X_Distell,0.0,Number of board members who are women,,Distell,Number of board members who are women in Distell company in the year ,3.0
220_X_Ssw,0.0,Female,,Ssw,Female in Ssw company in the year ,0.0
220_X_Tongaat,0.0,Female Board members,,Tongaat,Female Board members in Tongaat company in the year ,0.0
226_X_Impala,0.0,Employees on ART,,Impala,Employees on ART in Impala company in the year ,0.0
226_X_Ssw,0.0,Highly-active antiretroviral treatment (HAART) patients on treatment and in active employment N,,Ssw,Highly-active antiretroviral treatment (HAART) patients on treatment and in active employment N in Ssw company in the year ,15160.0
226_X_Tongaat,0.0,Employees currently receiving company-provided ART (anti-retroviral treatment),,Tongaat,Employees currently receiving company-provided ART (anti-retroviral treatment) in Tongaat company in the year ,0.0
236_X_Distell,0.0,"Number of Lost Time Injuries (LTIs, i.e., injuries on duty leading to at least one lost day)",,Distell,"Number of Lost Time Injuries (LTIs, i.e., injuries on duty leading to at least one lost day) in Distell company in the year ",161.0
236_X_Impala,0.0,Lost-time injuries,,Impala,Lost-time injuries in Impala company in the year ,493.0
236_X_Tongaat,0.0,"Lost time injuries (LTIs, i.e. injuries on duty leading to at least one lost day) – employees and contractors",,Tongaat,"Lost time injuries (LTIs, i.e. injuries on duty leading to at least one lost day) – employees and contractors in Tongaat company in the year ",0.0
243_X_Distell,0.0,Number of reported occupational diseases (South Africa only),,Distell,Number of reported occupational diseases (South Africa only) in Distell company in the year ,226.0
244_X_Absa,0.0,Work-related injuries,,Absa,Work-related injuries in Absa company in the year ,43.0
244_X_Distell,0.0,"Total Number of recordable injuries, including MTCs, LTIs and Fatalities – calculated",,Distell,"Total Number of recordable injuries, including MTCs, LTIs and Fatalities – calculated in Distell company in the year ",343.0
244_X_Impala,0.0,Reportable injuries,,Impala,Reportable injuries in Impala company in the year ,388.0
244_X_Tongaat,0.0,"Total number of recordable Injuries, including MTCs, LTIs and Fatalities – employees and contractors",,Tongaat,"Total number of recordable Injuries, including MTCs, LTIs and Fatalities – employees and contractors in Tongaat company in the year ",0.0
246_X_Absa,0.0,External learning programmes - Leadership and management,,Absa,External learning programmes - Leadership and management in Absa company in the year ,393.1
246_X_Sasol,0.0,Number of employees receiving leadership training,,Sasol,Number of employees receiving leadership training in Sasol company in the year ,8162.0
268_X_Uct1&2,0.0,Other operating expenses,,Uct1&2,Other operating expenses in Uct1&2 company in the year ,2938700000.0
274_X_Sasol,0.0,"Fines, penalties and settlements (US$ million)",,Sasol,"Fines, penalties and settlements (US$ million) in Sasol company in the year ",0.0
277_X_Ssw,0.0,"Percentage hazardous waste recycled, reused and refurbished",,Ssw,"Percentage hazardous waste recycled, reused and refurbished in Ssw company in the year ",0.0
27_X_Impala,0.0,Leased and managed land - South Africa,,Impala,Leased and managed land - South Africa in Impala company in the year ,0.0
27_X_Ssw,0.0,Land under management,,Ssw,Land under management in Ssw company in the year ,0.0
285_X_Ssw,0.0,Representation (HDP South Africans) - Executive management (Average of SA region),,Ssw,Representation (HDP South Africans) - Executive management (Average of SA region) in Ssw company in the year ,0.0
286_X_Ssw,0.0,Representation (HDP South Africans) - Junior management (Average of SA region),,Ssw,Representation (HDP South Africans) - Junior management (Average of SA region) in Ssw company in the year ,0.0
287_X_Ssw,0.0,Representation (HDP South Africans) - Middle management (Average of SA region),,Ssw,Representation (HDP South Africans) - Middle management (Average of SA region) in Ssw company in the year ,38.55
288_X_Ssw,0.0,Representation (HDP South Africans) - Senior management (Average of SA region),,Ssw,Representation (HDP South Africans) - Senior management (Average of SA region) in Ssw company in the year ,0.0
289_X_Distell,0.0,Percentage of employees who are deemed 'HDSA',,Distell,Percentage of employees who are deemed 'HDSA' in Distell company in the year ,75.05
289_X_Tongaat,0.0,Percentage of employees who are deemed HDSA (SA only),,Tongaat,Percentage of employees who are deemed HDSA (SA only) in Tongaat company in the year ,0.0
28_X_Tongaat,0.0,Total – company managed/farmed land (owned and leased),,Tongaat,Total – company managed/farmed land (owned and leased) in Tongaat company in the year ,0.0
295_X_Absa,0.0,Percentage of staff covered by an independent union or collective bargaining agreements,,Absa,Percentage of staff covered by an independent union or collective bargaining agreements in Absa company in the year ,40.8
295_X_Distell,0.0,Percentage of employees who belong to a trade union,,Distell,Percentage of employees who belong to a trade union in Distell company in the year ,30.0
295_X_Oceana1&2,0.0,Unionised workforce,,Oceana1&2,Unionised workforce in Oceana1&2 company in the year ,73.0
295_X_Tongaat,0.0,Percentage of employees covered by collective bargaining agreements,,Tongaat,Percentage of employees covered by collective bargaining agreements in Tongaat company in the year ,0.0
298_X_Distell,0.0,Percentage of board members who are women,,Distell,Percentage of board members who are women in Distell company in the year ,25.0
298_X_Ssw,0.0,Female directors,,Ssw,Female directors in Ssw company in the year ,16.2
298_X_Tongaat,0.0,Percentage of female Board members.,,Tongaat,Percentage of female Board members. in Tongaat company in the year ,0.0
29_X_Impala,0.0,Disturbed areas rehabilitated,,Impala,Disturbed areas rehabilitated in Impala company in the year ,11.33
29_X_Ssw,0.0,Total land rehabilitated,,Ssw,Total land rehabilitated in Ssw company in the year ,0.0
311_X_Absa,0.0,Local procurement as a percentage of total (South Africa) (%),,Absa,Local procurement as a percentage of total (South Africa) (%) in Absa company in the year ,77.9
311_X_Distell,0.0,Spend with black-owned businesses as a % of total procurement spend (%),,Distell,Spend with black-owned businesses as a % of total procurement spend (%) in Distell company in the year ,29.3
311_X_Oceana1&2,0.0,B-BBEE compliant suppliers,,Oceana1&2,B-BBEE compliant suppliers in Oceana1&2 company in the year ,105.34
311_X_Ssw,0.0,% of total procurement (Average of SA region),,Ssw,% of total procurement (Average of SA region) in Ssw company in the year ,0.0
31_X_Sasol,0.0,Area dedicated to biodiversity and conservation (hectares),,Sasol,Area dedicated to biodiversity and conservation (hectares) in Sasol company in the year ,0.0
323_X_Sasol,0.0,Investment in learning as a % of payroll,,Sasol,Investment in learning as a % of payroll in Sasol company in the year ,6.1
338_X_Oceana1&2,0.0,Waste Recycled,,Oceana1&2,Waste Recycled in Oceana1&2 company in the year ,0.0
338_X_Tongaat,0.0,Percentage of waste disposed of that is sent for recycling (or reuse),,Tongaat,Percentage of waste disposed of that is sent for recycling (or reuse) in Tongaat company in the year ,0.0
348_X_Absa,0.0,"Employee diversity (%) - Women in junior, middle and senior leadership",,Absa,"Employee diversity (%) - Women in junior, middle and senior leadership in Absa company in the year ",61.7
349_X_Absa,0.0,Employee diversity (%) - Total women employees,,Absa,Employee diversity (%) - Total women employees in Absa company in the year ,60.8
349_X_Distell,0.0,Percentage of employees who are women,,Distell,Percentage of employees who are women in Distell company in the year ,35.0
349_X_Ssw,0.0,Women in the workforce / Women in Mining (Average of SA region),,Ssw,Women in the workforce / Women in Mining (Average of SA region) in Ssw company in the year ,16.2
349_X_Tongaat,0.0,Percentage of employees who are women (SA only),,Tongaat,Percentage of employees who are women (SA only) in Tongaat company in the year ,0.0
353_X_Tongaat,0.0,Percentage of energy consumption sourced from renewable fuels,,Tongaat,Percentage of energy consumption sourced from renewable fuels in Tongaat company in the year ,0.0
364_X_Absa,0.0,Total procurement spend on >30% black-owned companies (Rbn),,Absa,Total procurement spend on >30% black-owned companies (Rbn) in Absa company in the year ,7000000000.0
364_X_Oceana1&2,0.0,30% black-owned suppliers,,Oceana1&2,30% black-owned suppliers in Oceana1&2 company in the year ,0.0
364_X_Sasol,0.0,B-BBEE (RSA only) - Black-owned women spend,,Sasol,B-BBEE (RSA only) - Black-owned women spend in Sasol company in the year ,41735000000.0
379_X_Sasol,0.0,Recordable Case Rate (RCR),,Sasol,Recordable Case Rate (RCR) in Sasol company in the year ,0.27
379_X_Ssw,0.0,Total recordable injury frequency rate (TRIFR) (Average for SA Region),,Ssw,Total recordable injury frequency rate (TRIFR) (Average for SA Region) in Ssw company in the year ,6.81
379_X_Tongaat,0.0,Total recordable injury frequency rate (TRIFR) – employees and contractors,,Tongaat,Total recordable injury frequency rate (TRIFR) – employees and contractors in Tongaat company in the year ,0.0
385_X_Distell,0.0,Rand value of total revenue generated in South Africa,,Distell,Rand value of total revenue generated in South Africa in Distell company in the year ,28107327885.0
385_X_Sasol,0.0,Turnover,,Sasol,Turnover in Sasol company in the year ,1937.0
385_X_Ssw,0.0,Revenue,,Ssw,Revenue in Ssw company in the year ,138288000000.0
385_X_Uct1&2,0.0,Recurrent revenue,,Uct1&2,Recurrent revenue in Uct1&2 company in the year ,6303800000.0
398_X_Distell,0.0,Rand value of corporate social investment (CSI) / socioeconomic development (SED) expenditures – reported,,Distell,Rand value of corporate social investment (CSI) / socioeconomic development (SED) expenditures – reported in Distell company in the year ,177.54
398_X_Oceana1&2,0.0,"Community development expenditure (SA, US and Namibia)",,Oceana1&2,"Community development expenditure (SA, US and Namibia) in Oceana1&2 company in the year ",74500000.0
398_X_Sasol,0.0,Social investment (SI) spend - South Africa,,Sasol,Social investment (SI) spend - South Africa in Sasol company in the year ,0.0
398_X_Tongaat,0.0,Corporate social investment (CSI)/Socio-economic development (SED) expenditures,,Tongaat,Corporate social investment (CSI)/Socio-economic development (SED) expenditures in Tongaat company in the year ,0.0
399_X_Distell,0.0,"Rand value of CSI/SED spend on health, including HIV/AIDS",,Distell,"Rand value of CSI/SED spend on health, including HIV/AIDS in Distell company in the year ",0.0
399_X_Sasol,0.0,Social Investment Spend - Community health and infrastructure,,Sasol,Social Investment Spend - Community health and infrastructure in Sasol company in the year ,343.0
418_X_Ssw,0.0,"TB rate per 1,000 employees",,Ssw,"TB rate per 1,000 employees in Ssw company in the year ",5.72
432_X_Sasol,0.0,Social Investment Spend - Environment and biodiversity,,Sasol,Social Investment Spend - Environment and biodiversity in Sasol company in the year ,13200000.0
432_X_Tongaat,0.0,Total Rand value of investments in projects to improve environmental efficiencies,,Tongaat,Total Rand value of investments in projects to improve environmental efficiencies in Tongaat company in the year ,0.0
444_X_Absa,0.0,Total tax payments,,Absa,Total tax payments in Absa company in the year ,15470000000.0
444_X_Distell,0.0,Rand value of total taxation paid in South Africa,,Distell,Rand value of total taxation paid in South Africa in Distell company in the year ,886079471.0
444_X_Oceana1&2,0.0,Taxes paid in South Africa and Namibia,,Oceana1&2,Taxes paid in South Africa and Namibia in Oceana1&2 company in the year ,30799.0
444_X_Sasol,0.0,Direct taxes paid to government,,Sasol,Direct taxes paid to government in Sasol company in the year ,0.0
444_X_Ssw,0.0,Current tax and royalties,,Ssw,Current tax and royalties in Ssw company in the year ,14728000000.0
445_X_Ssw,0.0,Total area covered by tailings (ha),,Ssw,Total area covered by tailings (ha) in Ssw company in the year ,0.0
448_X_Ssw,0.0,Total assets,,Ssw,Total assets in Ssw company in the year ,0.0
448_X_Uct1&2,0.0,Total assets,,Uct1&2,Total assets in Uct1&2 company in the year ,41111000000.0
458_X_Distell,0.0,Total rand value of compensation paid to executive directors – including gains realised from LTIP awards,,Distell,Total rand value of compensation paid to executive directors – including gains realised from LTIP awards in Distell company in the year ,40677117.0
460_X_Ssw,0.0,Cyanide consumption,,Ssw,Cyanide consumption in Ssw company in the year ,2444.0
466_X_Absa,0.0,Training spend (Rm),,Absa,Training spend (Rm) in Absa company in the year ,500000000.0
466_X_Distell,0.0,Rand value of employee training spend,,Distell,Rand value of employee training spend in Distell company in the year ,26100000.0
466_X_Impala,0.0,Skills development – SA operations (Rm),,Impala,Skills development – SA operations (Rm) in Impala company in the year ,1340000000.0
466_X_Oceana1&2,0.0,Total investment in skills development,,Oceana1&2,Total investment in skills development in Oceana1&2 company in the year ,42000000.0
466_X_Sasol,0.0,Total skills development expenditure (R million),,Sasol,Total skills development expenditure (R million) in Sasol company in the year ,1231000000.0
466_X_Ssw,0.0,training and skills development,,Ssw,training and skills development in Ssw company in the year ,0.0
466_X_Tongaat,0.0,Value of employee training spend,,Tongaat,Value of employee training spend in Tongaat company in the year ,0.0
468_X_Absa,0.0,Total energy use (kWh),,Absa,Total energy use (kWh) in Absa company in the year ,215963015.0
468_X_Distell,0.0,"Total direct and indirect (i.e., electricity) energy consumption in GJ",,Distell,"Total direct and indirect (i.e., electricity) energy consumption in GJ in Distell company in the year ",332851.0
468_X_Impala,0.0,Key production figures – Energy,,Impala,Key production figures – Energy in Impala company in the year ,14400000.0
468_X_Oceana1&2,0.0,Direct/Indirect energy,,Oceana1&2,Direct/Indirect energy in Oceana1&2 company in the year ,151023.0
468_X_Sasol,0.0,Total energy use (thousand gigajoules),,Sasol,Total energy use (thousand gigajoules) in Sasol company in the year ,384669000.0
468_X_Tongaat,0.0,Total direct and indirect energy consumption,,Tongaat,Total direct and indirect energy consumption in Tongaat company in the year ,0.0
46_X_Absa,0.0,Total procurement spend on qualifying small enterprises and exempt micro enterprises(Rbn),,Absa,Total procurement spend on qualifying small enterprises and exempt micro enterprises(Rbn) in Absa company in the year ,9000000000.0
46_X_Oceana1&2,0.0,51% black-owned suppliers,,Oceana1&2,51% black-owned suppliers in Oceana1&2 company in the year ,0.0
471_X_Distell,0.0,Total volume of electricity self-generated (MWh) – all sources,,Distell,Total volume of electricity self-generated (MWh) – all sources in Distell company in the year ,0.0
471_X_Oceana1&2,0.0,Electricity purchased from renewable sources (Mwh),,Oceana1&2,Electricity purchased from renewable sources (Mwh) in Oceana1&2 company in the year ,750.0
475_X_Distell,0.0,Rand value of investments in projects to improve energy efficiency,,Distell,Rand value of investments in projects to improve energy efficiency in Distell company in the year ,194902.0
477_X_Distell,0.0,Total value of E+Scalator Programme + Agri+Gator Programme,,Distell,Total value of E+Scalator Programme + Agri+Gator Programme in Distell company in the year ,105.5
477_X_Oceana1&2,0.0,Enterprise development/Supplier development,,Oceana1&2,Enterprise development/Supplier development in Oceana1&2 company in the year ,0.0
477_X_Sasol,0.0,Social Investment Spend - Enterprise and supplier development,,Sasol,Social Investment Spend - Enterprise and supplier development in Sasol company in the year ,9005000.0
477_X_Tongaat,0.0,Enterprise and supplier development spend (i.e. support for small business),,Tongaat,Enterprise and supplier development spend (i.e. support for small business) in Tongaat company in the year ,0.0
47_X_Oceana1&2,0.0,Empowering QSE Suppliers,,Oceana1&2,Empowering QSE Suppliers in Oceana1&2 company in the year ,0.0
484_X_Distell,0.0,Rand value of funds invested in research and development – in South Africa,,Distell,Rand value of funds invested in research and development – in South Africa in Distell company in the year ,0.0
484_X_Ssw,0.0,Research and development,,Ssw,Research and development in Ssw company in the year ,125000000.0
488_X_Impala,0.0,Total water withdrawn,,Impala,Total water withdrawn in Impala company in the year ,15928.0
488_X_Ssw,0.0,Total water withdrawn,,Ssw,Total water withdrawn in Ssw company in the year ,102665.0
488_X_Tongaat,0.0,Water abstracted – total,,Tongaat,Water abstracted – total in Tongaat company in the year ,0.0
489_X_Absa,0.0,Water consumption (kilolitres),,Absa,Water consumption (kilolitres) in Absa company in the year ,290762.0
